name_a,name_b,score,locations_a,locations_b,same_brand
silvio o conte forum east roof 2a,silvio o conte forum east roof 3b,94,1,1,
silvio o conte forum east roof 2b,silvio o conte forum east roof 3a,94,1,1,
silvio o conte forum east roof 2c,silvio o conte forum east roof 3a,94,1,1,
silvio o conte forum east roof 2c,silvio o conte forum east roof 3b,94,1,1,
residence inn by marriott,residence inn by marriott bos,93,1,1,
stand 407 north end butcher,stand 730 north end butcher,93,1,1,
roche bros supermarket,roche brothers supermarket,92,1,1,
stand 407 north end butcher,stand north end butcher,92,1,2,
stand 730 north end butcher,stand north end butcher,92,1,2,
starbucks coffee c10,starbucks coffee co,92,1,4,
starbucks coffee c28,starbucks coffee co,92,1,4,
tropical smoothie and cafe,tropical smoothie cafe,92,1,1,
blackbird donuts,blackbird doughnuts,91,1,1,
coffee cup,cuppa coffee,91,1,1,
falafel king i i i,falafel king ii,91,1,1,
stand 405 luckys chicken,stand luckys chicken,91,1,3,
starbucks coffee,starbucks coffee co,91,21,4,
td garden lev 4 concession sw 418,td garden lev 7 concession sw 721,91,1,1,
aaa restaurant,ariana restaurant,90,1,1,
bale restaurant,bey restaurant,90,1,1,
banh mi oi,banh mi ok,90,1,1,
brown sugar cafe,sugar bowl cafe,90,1,1,
capo restaurant,cibao restaurant,90,1,1,
dumpling king,dumpling kingdom,90,1,1,
la cabra restaurant,la cuchara restaurant,90,1,1,
miami restaurant,mida restaurant,90,1,1,
oba bakery and cafe,sofra bakery and cafe,90,1,1,
stand 406 sals pizza,stand 707 sals pizza,90,1,1,
stand 707 sals pizza,stand 725 sals pizza,90,1,1,
starbucks coffee c10,starbucks coffee c28,90,1,1,
td garden l9 concession se 905,td garden l9 concession sw 914,90,1,1,
td garden lev 4 bar room sw 417,td garden lev 7 bar room sw 720,90,1,1,
td garden lev 4 grab and go sw 420,td garden lev7 grab and go sw 723,90,1,1,
td garden lev 7 bar room sw 720,td garden lev 8 bar room sw 809,90,1,1,
zaz restaurant,zuma restaurant,90,1,1,
angelas cafe,angelas cafe ii,89,1,1,
best fried chicken,boston fried chicken,89,1,2,
cisco brewers seaport trailer,cisco brewers seaport trailer winery,89,7,1,
delfino restaurant,devlins restaurant,89,1,1,
flames restaurant,flames restaurant iii,89,3,1,
flour bakery and cafe,flour bakery cafe,89,6,1,
la marina restaurant,ma la restaurant,89,1,1,
stand 418 backbay bbq,stand backbay bbq,89,1,1,
stand 727 hub hot dog,stand hub hot dog,89,1,7,
starbucks coffee,starbucks coffee c10,89,21,1,
starbucks coffee,starbucks coffee c28,89,21,1,
aloft boston seaport hotel,aloft boston seaport hotel refuel,88,1,1,
alumni 1,alumni 2,88,1,1,
alumni 1,alumni 3,88,1,1,
alumni 1,alumni 4,88,1,1,
alumni 1,alumni 5,88,1,1,
alumni 2,alumni 3,88,1,1,
alumni 2,alumni 4,88,1,1,
alumni 2,alumni 5,88,1,1,
alumni 3,alumni 4,88,1,1,
alumni 3,alumni 5,88,1,1,
alumni 4,alumni 5,88,1,1,
bourbon st cafe,bourbon street cafe,88,1,1,
delta sky club express,eurest delta sky club,88,1,1,
el palmar restaurant,las palmas restaurant,88,1,1,
four seasons hotel boston,four seasons hotel boston lounge,88,1,1,
goulston and storrs cafe,goulston and storrs catering,88,1,1,
knoll street tavern,l street tavern,88,1,1,
lawn on d the grove bar b1,lawn on d the grove bar c1,88,1,1,
lawn on d the grove bar b1,lawn on d the grove bar c2,88,1,1,
lawn on d the grove bar b1,lawn on d the grove bar e1,88,1,1,
lawn on d the grove bar b1,lawn on d the grove bar e2,88,1,1,
lawn on d the grove bar c1,lawn on d the grove bar e1,88,1,1,
lawn on d the grove bar c1,lawn on d the grove bar e2,88,1,1,
lawn on d the grove bar c2,lawn on d the grove bar e1,88,1,1,
lawn on d the grove bar c2,lawn on d the grove bar e2,88,1,1,
laylas american tavern,lucys american tavern,88,1,1,
marios restaurant,mast restaurant,88,1,1,
marios restaurant,primos restaurant,88,1,1,
mela restaurant,melodias restaurant,88,1,1,
new oriental house,oriental house,88,1,1,
poe lenta italian cafe,poe lenta italian cafe kiosk,88,1,1,
sebastians cafe,sebastians cafe rcc,88,1,1,
stand 408 big bad burger,stand 711 big bad burger,88,1,1,
td garden l9 bar room sw 909,td garden lev 8 bar room sw 809,88,1,1,
tora japanese restaurant,umai japanese restaurant,88,1,1,
tuscan kitchen,tuscan kitchen bar,88,1,1,
leader bank pavilion shaker bar,leader bank pavilion shaker bar dockside,87,1,1,
panera bread cafe,panera bread cafe 2137,87,1,1,
td garden lev 4 bar room sw 417,td garden lev 8 bar room sw 809,87,1,1,
dunkin,dunkin donuts,,13,62,y
